,Date,Open,High,Low,Close,Vol.,Change %,tr1,tr2,tr3,tr,atr,close_std,atr_std
100,2020-05-26,173.11,173.16,172.01,172.16,705.34K,-0.52%,1.1500000000000057,0.09999999999999432,1.0500000000000114,1.1500000000000057,0.05377551020408188,0.49289512514823763,0.005670512678636053
101,2020-05-27,172.28,172.53,171.5,172.07,841.05K,-0.05%,1.0300000000000011,0.37000000000000455,0.6599999999999966,1.0300000000000011,0.05295918367346951,0.5507681947923646,0.005989325114175512
102,2020-05-28,171.82,172.32,171.68,172.05,637.25K,-0.01%,0.6399999999999864,0.25,0.38999999999998636,0.6399999999999864,0.052551020408163326,0.5877882739084123,0.006056346119959183
103,2020-05-29,172.15,172.57,172.0,172.46,810.34K,0.24%,0.5699999999999932,0.5199999999999818,0.05000000000001137,0.5699999999999932,0.052193877551020354,0.5842267360537489,0.005978671023800499
104,2020-06-01,172.37,172.42,171.47,171.65,638.43K,-0.47%,0.9499999999999886,0.040000000000020464,0.9900000000000091,0.9900000000000091,0.05352040816326535,0.6607438365822987,0.005586621407915563
105,2020-06-02,171.92,172.15,171.67,171.86,1.11M,0.12%,0.4800000000000182,0.5,0.01999999999998181,0.5,0.05326530612244911,0.6608174258663952,0.005435915004289882
106,2020-06-03,171.66,171.87,170.86,170.97,1.45M,-0.52%,1.009999999999991,0.009999999999990905,1.0,1.009999999999991,0.055459183673469414,0.7420601705402504,0.005327654882343466
107,2020-06-04,171.04,171.34,170.37,170.54,1.11M,-0.25%,0.9699999999999989,0.37000000000000455,0.5999999999999943,0.9699999999999989,0.05714285714285723,0.8167306172158125,0.0051948843902431836
108,2020-06-05,170.55,170.7,169.66,169.86,183.51K,-0.40%,1.039999999999992,0.1599999999999966,0.8799999999999955,1.039999999999992,0.054897959183673566,0.9945204266980079,0.00460252829454309
109,2020-06-08,170.13,170.27,169.88,170.22,11.88K,0.21%,0.3900000000000148,0.4099999999999966,0.01999999999998181,0.4099999999999966,0.05239795918367352,1.0823085319077876,0.003685148838018702
110,2020-06-09,173.61,174.02,173.3,173.46,646.57K,1.90%,0.7199999999999989,3.8000000000000114,3.0800000000000125,3.8000000000000114,0.06943877551020415,1.1443922039590146,0.00459964357165075
111,2020-06-10,173.47,174.18,173.25,173.81,644.91K,0.20%,0.9300000000000068,0.7199999999999989,0.21000000000000796,0.9300000000000068,0.0710714285714286,1.2113848672911383,0.006096379845470614
112,2020-06-11,174.28,175.34,174.12,175.24,598.11K,0.82%,1.2199999999999989,1.5300000000000011,0.3100000000000023,1.5300000000000011,0.07586734693877553,1.4731988444074917,0.008002184717318598
113,2020-06-12,175.25,175.6,174.9,175.57,513.63K,0.19%,0.6999999999999886,0.3599999999999852,0.3400000000000034,0.6999999999999886,0.07790816326530603,1.7293796130846006,0.009546464766703493
